"Atributos"	"Albania"	"Argentina"	"Azerbaiy"	"Bangladesh"	"Belarus" "Belice"	"Bolivia"	"Botswana"	"Brasil"	"Burkina Faso"	"Camerun"	"Chile"	"China"	"Colombia"	"Congo"	"Etiopia"	"Georgia"	"Ghana"	"India"	"Indonesia"	"Jamaica"	"Jordania"	"Kazajstan"	"Kenya"	"Kirguistan"	"Lesotho"	"Malasia"	"Maldivas"	"Mexico"	"Mongolia"	"Marruecos"	"Nepal"	"Nicaragua"	"Pakistan"	"Paraguay"	"Filipinas"	"Senegal"	"Serbia"	"Seychelles"	"Sri Lanka"	"Swazilandia"	"Siria"	"Tunez"	"Turquia"	"Ucrania"	"Uruguay"	"Venezuela"	"Yemen"	"Zambia"
"At1"	8840	15150	9220	1620	14020	5970	4560	13910	10920	1260	2190	13890	7570	9000	3280	1010	4980	1600	3560	4300	7430	5770	10610	1610	2180	1910	14360	5480	15010	3700	4560	1200	2610	2780	5430	3930	1850	11230	20470	5070	4890	4870	8140	14580	6580	13890	11950	2320	1370
"At2"	5.4	2.1	5.5	3.5	4.5	1.9	1.5	3.5	1.5	2.4	0.6	3.4	9.2	1.5	0.7	2.9	2.7	2.4	4.9	2.6	0.7	2.5	3.9	0.3	0.5	2.2	3.2	4.9	1.5	3.1	2.4	1.9	1.9	1.7	0.1	2	1.1	1.5	1.8	4.1	1.6	1.6	3.5	2.3	0.4	2	0.3	1.5	0.6
"At3"	14	8	53	4	122	1	7	9	54	3	4	6	5	14	8	7	74	26	6	15	15	4	58	10	37	8	4	3	13	25	3	7	18	10	10	7	4	24	5	10	8	7	4	46	72	16	33	17	29
"At4"	1	1	1	50	0	12	14	31	4	57	10	1	16	16	54	39	15	30	42	19	0	0	0	20	2	43	0	2	3	22	3	55	16	23	5	23	34	0	0	7	63	2	3	3	0	0	4	18	64
"At5"	4	5	1	6	3	8	9	5	6	7	3	15	0	9	4	1	5	7	2	1	6	10	6	7	12	9	6	8	5	6	3	7	13	1	7	2	3	16	9	6	8	2	5	3	3	7	8	4	13
"At6"	2	5	4	14	4	20	24	26	6	17	12	17	2	20	4	5	7	22	3	4	17	16	7	26	11	18	23	19	25	9	18	18	16	2	22	19	14	10	8	10	20	9	19	10	6	8	21	22	14
"At7"	4	3	12	8	3	5	6	8	3	14	10	5	10	13	10	17	17	5	13	7	2	19	6	6	7	4	11	6	3	9	13	9	6	13	11	5	7	6	3	18	8	24	4	8	3	4	5	19	4
"At8"	358	128	232	1227	98	28	726	280	338	1084	649	80	1132	1060	283	3820	908	1583	2393	1049	150	761	298	1778	315	123	144	33	185	372	912	855	774	2781	148	310	1018	608	23	704	58	245	474	1362	668	51	67	500	1269
"At9"	3	0	1	1	0	0	4	2	0	14	3	0	0	0	5	13	9	10	0	0	1	3	0	6	7	6	0	3	0	9	1	7	13	2	1	0	8	1	4	2	2	0	1	0	1	0	0	2	11
"At10"	5	17	1	3	4	12	9	1	23	5	7	22	3	20	2	3	6	3	5	17	24	4	79	4	9	2	5	7	15	4	10	4	13	10	5	14	3	28	6	10	2	3	9	40	34	20	6	3	3
