Edad,Profesional,Ingresos,Sexo,Interesado
joven,si,bajos,hombre,si
joven,si,altos,hombre,si
joven,no,altos,mujer,no
joven,si,bajos,mujer,si
joven,no,medios,mujer,no
adulto,si,altos,hombre,no
adulto,no,altos,mujer,no
adulto,si,altos,mujer,no
adulto,no,medios,mujer,no
adulto,si,bajos,mujer,no
adulto,no,medios,mujer,no
adulto,si,medios,hombre,no
adulto,no,altos,hombre,si
joven,si,altos,mujer,si
joven,si,medios,hombre,si
adulto,no,medios,hombre,no
adulto,no,bajos,hombre,no
joven,no,medios,hombre,no
joven,no,bajos,mujer,no
adulto,si,medios,mujer,no
joven,si,medios,mujer,si
