Item,Proteína,Carbohidratos,Grasa
Manzanas,0.01532567049808429,0.12407991587802315,0.0012345679012345679
Aguacate,0.07279693486590037,0.019978969505783387,0.24074074074074073
Platanos,0.045977011494252866,0.24395373291272346,0.0037037037037037034
Filete de ternera,0.8007662835249041,0,0.09753086419753088
Hamburguesa Big Mac,0.49808429118773945,0.19978969505783387,0.13580246913580246
Nueces de Brasil,0.5938697318007663,0.030494216614090432,0.8432098765432099
Pan,0.4022988505747126,0.3890641430073607,0.03950617283950617
Mantequilla,0.038314176245210725,0,1
Queso,0.9578544061302682,0.0010515247108307047,0.4246913580246913
Tarta de queso,0.24521072796934865,0.29652996845425866,0.2802469135802469
Galletas,0.21839080459770113,0.6172450052576236,0.3617283950617284
Copos de maiz,0.2681992337164751,0.8832807570977919,0.011111111111111112
Huevos,0.4789272030651341,0,0.13333333333333333
Pollo frito,0.6513409961685823,0.07360672975814932,0.24691358024691357
Patatas fritas,0.11494252873563218,0.37854889589905366,0.16049382716049382
Chocolate,0.14559386973180075,0.20399579390115669,0.1259259259259259
Pepperoni,0.8007662835249041,0.05362776025236593,0.4728395061728395
Pizza,0.4789272030651341,0.3154574132492114,0.13580246913580246
Pastel de cerdo,0.38697318007662834,0.2870662460567824,0.29876543209876544
Patatas,0.06513409961685823,0.16929547844374346,0.0037037037037037034
Arroz,0.26436781609195403,0.7781282860147214,0.0345679012345679
Pollo asado,1,0.0031545741324921135,0.07160493827160494
Azúcar,0,1,0
Filete de atun,0.9808429118773946,0,0.006172839506172839
Agua,0,0,0
