Item,Pequeño,Medio,Grande,2 patas,4 patas,Pelo,Pezuñas,Melena,Plumas,Caza,Corre,Vuela,Nada
Paloma,1,0,0,1,0,0,0,0,1,0,0,1,0
Gallina,1,0,0,1,0,0,0,0,1,0,0,0,0
Pato,1,0,0,1,0,0,0,0,1,0,0,0,1
Ganso,1,0,0,1,0,0,0,0,1,0,0,1,1
Buho,1,0,0,1,0,0,0,0,1,1,0,1,0
Halcón,1,0,0,1,0,0,0,0,1,1,0,1,0
"Águila",0,1,0,1,0,0,0,0,1,1,0,1,0
Zorro,0,1,0,0,1,1,0,0,0,1,0,0,0
Perro,0,1,0,0,1,1,0,0,0,0,1,0,0
Lobo,0,1,0,0,1,1,0,1,0,1,1,0,0
Gato,1,0,0,0,1,1,0,0,0,1,0,0,0
Tigre,0,0,1,0,1,1,0,0,0,1,1,0,0
León,0,0,1,0,1,1,0,1,0,1,1,0,0
Caballo,0,0,1,0,1,1,1,1,0,0,1,0,0
Cebra,0,0,1,0,1,1,1,1,0,0,1,0,0
Vaca,0,0,1,0,1,1,1,0,0,0,0,0,0
