Item,Small,Middle,Big,2 paws,4 paws,Fur,Hoofs,Mane,Feathers,Hunt,Run,Fly,Swing
Dove,1,0,0,1,0,0,0,0,1,0,0,1,0
Chicken,1,0,0,1,0,0,0,0,1,0,0,0,0
Duck,1,0,0,1,0,0,0,0,1,0,0,0,1
Goose,1,0,0,1,0,0,0,0,1,0,0,1,1
Owl,1,0,0,1,0,0,0,0,1,1,0,1,0
Hawk,1,0,0,1,0,0,0,0,1,1,0,1,0
Eagle,0,1,0,1,0,0,0,0,1,1,0,1,0
Fox,0,1,0,0,1,1,0,0,0,1,0,0,0
Dog,0,1,0,0,1,1,0,0,0,0,1,0,0
Wolf,0,1,0,0,1,1,0,1,0,1,1,0,0
Cat,1,0,0,0,1,1,0,0,0,1,0,0,0
Tiger,0,0,1,0,1,1,0,0,0,1,1,0,0
Lion,0,0,1,0,1,1,0,1,0,1,1,0,0
Horse,0,0,1,0,1,1,1,1,0,0,1,0,0
Zebra,0,0,1,0,1,1,1,1,0,0,1,0,0
Cow,0,0,1,0,1,1,1,0,0,0,0,0,0
