Item,At1,At2,At3,At4,At5,At6,At7,At8,At9,At10
Albania,0.4318514899853444,0.5869565217391305,0.11475409836065574,0.015625,0.25,0.07692307692307693,0.16666666666666666,0.093717277486911,0.21428571428571427,0.06329113924050633
Argentina,0.7401074743527113,0.2282608695652174,0.06557377049180328,0.015625,0.3125,0.19230769230769232,0.125,0.033507853403141365,0,0.21518987341772153
Azerbaiy,0.4504152418172936,0.5978260869565218,0.4344262295081967,0.015625,0.0625,0.15384615384615385,0.5,0.060732984293193716,0.07142857142857142,0.012658227848101266
Bangladesh,0.07914020517830972,0.3804347826086957,0.03278688524590164,0.78125,0.375,0.5384615384615384,0.3333333333333333,0.32120418848167537,0.07142857142857142,0.0379746835443038
Belarus,0.684904738641915,0.48913043478260876,1,0,0.1875,0.15384615384615385,0.125,0.025654450261780103,0,0.05063291139240506
Belice,0.2916463116756229,0.20652173913043478,0.00819672131147541,0.1875,0.5,0.7692307692307693,0.20833333333333334,0.007329842931937173,0,0.1518987341772152
Bolivia,0.22276502198339032,0.16304347826086957,0.05737704918032787,0.21875,0.5625,0.9230769230769231,0.25,0.19005235602094242,0.2857142857142857,0.11392405063291139
Botswana,0.6795310210063508,0.3804347826086957,0.07377049180327869,0.484375,0.3125,1,0.3333333333333333,0.07329842931937172,0.14285714285714285,0.012658227848101266
Brasil,0.5334636052760137,0.16304347826086957,0.4426229508196721,0.0625,0.375,0.23076923076923078,0.125,0.08848167539267016,0,0.2911392405063291
Burkina Faso,0.061553492916463115,0.2608695652173913,0.02459016393442623,0.890625,0.4375,0.6538461538461539,0.5833333333333334,0.2837696335078534,1,0.06329113924050633
Camerun,0.10698583292623351,0.06521739130434782,0.03278688524590164,0.15625,0.1875,0.46153846153846156,0.4166666666666667,0.16989528795811518,0.21428571428571427,0.08860759493670886
Chile,0.6785539814362481,0.3695652173913044,0.04918032786885246,0.015625,0.9375,0.6538461538461539,0.20833333333333334,0.020942408376963352,0,0.27848101265822783
China,0.36980947728383,1,0.040983606557377046,0.25,0,0.07692307692307693,0.4166666666666667,0.2963350785340314,0,0.0379746835443038
Colombia,0.4396678065461651,0.16304347826086957,0.11475409836065574,0.25,0.5625,0.7692307692307693,0.5416666666666666,0.2774869109947644,0,0.25316455696202533
Congo,0.16023448949682462,0.07608695652173914,0.06557377049180328,0.84375,0.25,0.15384615384615385,0.4166666666666667,0.07408376963350785,0.35714285714285715,0.02531645569620253
Etiopia,0.04934049829018075,0.31521739130434784,0.05737704918032787,0.609375,0.0625,0.19230769230769232,0.7083333333333334,1,0.9285714285714286,0.0379746835443038
Georgia,0.2432828529555447,0.29347826086956524,0.6065573770491803,0.234375,0.3125,0.2692307692307692,0.7083333333333334,0.23769633507853402,0.6428571428571429,0.0759493670886076
Ghana,0.07816316560820713,0.2608695652173913,0.21311475409836064,0.46875,0.4375,0.8461538461538461,0.20833333333333334,0.4143979057591623,0.7142857142857143,0.0379746835443038
India,0.17391304347826086,0.532608695652174,0.04918032786885246,0.65625,0.125,0.11538461538461539,0.5416666666666666,0.6264397905759163,0,0.06329113924050633
